# FILE DU LIEU SINH VIEN
# Format: MaSV|HoTen|NgaySinh
#---------------------------------------------------------
202352351|Nguyễn Bảo Bình|21/10/2005
202239225|Đỗ Đức Linh|31/07/2004
202562887|Đặng Minh Tân|03/04/2004
202232777|Đỗ Đức Hà|07/09/2005
202496995|Huỳnh Phương Tân|16/05/2003
202525090|Đoàn Phương Dũng|20/11/2005
202375188|Huỳnh Mai Bình|04/04/2005
202261462|Đặng Đức Nam|07/09/2005
202456326|Dương Bảo Hiếu|03/11/2006
202280649|Nguyễn Hải Tân|16/10/2006
202217648|Bùi Trọng Khoa|07/03/2006
202457369|Vũ Thanh Anh|16/06/2003
202424822|Ngô Tuấn Sơn|11/06/2003
202466912|Phan Hải Thắng|13/02/2003
202442723|Vũ Đức Đào|23/06/2003
202494759|Hồ Quang Nga|20/01/2005
202542962|Đoàn Hữu Trí|19/05/2006
202244543|Bùi Ngọc Bảo|01/03/2003
202214104|Đinh Thu Hà|04/12/2003
202462352|Dương Hoàng Nga|14/06/2004
202398726|Đinh Kim Vân|30/09/2005
202206960|Hoàng Hải Oanh|01/07/2005
202420647|Dương Xuân Anh|21/11/2005
202538779|Huỳnh Tuấn Tân|02/05/2005
202489065|Bùi Minh Hải|28/11/2004
202562270|Đinh Hữu Khang|23/04/2004
202495917|Đoàn Đức Huy|29/03/2005
202358589|Đinh Thu Phương|16/02/2006
202307387|Hồ Hữu Nga|17/07/2004
202583553|Võ Phương Đạt|02/08/2006
202513189|Dương Xuân Bình|22/01/2004
202547638|Hoàng Hữu Hải|08/01/2003
202519048|Trần Thu Dũng|30/06/2006
202598275|Đỗ Trọng Nam|02/10/2006
202488437|Hoàng Quang Bảo|13/03/2005
202381605|Vũ Xuân Uyên|10/06/2006
202291528|Lê Thị Bình|08/01/2006
202494179|Ngô Gia Dung|02/02/2006
202551270|Đinh Gia Khang|08/07/2006
202251568|Ngô Xuân Phúc|13/08/2006
202558251|Huỳnh Đức Quân|17/03/2004
202356261|Trần Bảo Yến|30/12/2004
202397104|Phạm Quang Vinh|22/09/2003
202486123|Đặng Văn Sơn|22/01/2004
202397123|Hồ Thị Quân|10/03/2005
202343217|Trịnh Gia Thảo|02/08/2004
202563453|Hoàng Đức Linh|26/03/2006
202466358|Bùi Tuấn Trí|13/03/2006
202305609|Bùi Phương Nga|19/12/2005
202347843|Trịnh Hoàng Em|19/12/2004
202495977|Nguyễn Xuân Yến|18/12/2003
202344587|Võ Quang Hải|07/04/2006
202293502|Đoàn Mai Anh|17/09/2004
202332404|Phạm Thị Khoa|11/12/2006
202570574|Phạm Văn Yến|07/04/2003
202553351|Đỗ Minh Thảo|28/07/2005
202508365|Trần Phương Tân|26/07/2006
202261687|Hồ Phương Dũng|02/02/2006
202300604|Vũ Hải Bảo|21/03/2004
202362219|Phạm Hoàng Trang|19/07/2003
202432572|Trần Trọng Hải|04/02/2005
202439529|Bùi Mai Phát|26/05/2003
202365928|Phan Thanh Đạt|23/08/2005
202360804|Đinh Trọng Oanh|12/08/2004
202431373|Huỳnh Xuân Hà|06/05/2003
202569696|Trịnh Tuấn Quỳnh|03/05/2003
202507927|Đinh Thanh Chi|07/02/2005
202593619|Đặng Đức Uyên|11/02/2005
202415879|Lê Hoàng Quân|22/08/2005
202463190|Huỳnh Thanh Hiếu|26/06/2005
202466780|Trần Hải Oanh|07/03/2006
202331758|Lê Quang Linh|04/10/2003
202459470|Phạm Xuân Chi|23/05/2004
202204144|Bùi Xuân Hà|16/11/2004
202278699|Dương Xuân Huy|23/06/2003
202559822|Đoàn Xuân Dung|27/01/2003
202251316|Phạm Hoàng Phát|23/02/2005
202373906|Nguyễn Mai Trí|08/05/2003
202482724|Võ Đức Anh|16/08/2004
202326960|Hoàng Hải Quân|21/08/2003
202447835|Đinh Gia Uyên|20/10/2006
202270671|Võ Thị Long|18/06/2006
202205488|Nguyễn Thị Oanh|14/02/2005
202346656|Ngô Xuân Yến|05/05/2006
202416051|Lê Quang Dũng|07/04/2005
202298482|Đoàn Bảo Dũng|26/04/2003
202409957|Phan Xuân Linh|09/08/2005
202400624|Đinh Quang Trang|04/11/2003
202327034|Hồ Tuấn Trang|30/03/2005
202467683|Bùi Trọng Sơn|08/09/2004
202265390|Võ Thu Tân|25/09/2006
202299020|Ngô Ngọc Đào|04/11/2006
202530103|Hồ Trọng Hà|22/01/2004
202551698|Đinh Kim Huy|21/03/2006
202390601|Đinh Quang Khoa|22/06/2005
202355589|Trần Minh Tân|11/12/2006
202213730|Huỳnh Xuân Phát|01/01/2003
202536216|Phạm Ngọc Dũng|26/03/2003
202481412|Hoàng Hoàng Vân|04/05/2005
202293691|Phạm Quang Khoa|07/12/2004
202285040|Vũ Ngọc Trí|25/01/2005
202215752|Vũ Minh Khoa|02/10/2004
202554884|Trần Hữu Oanh|31/01/2003
202237594|Phan Gia Đạt|05/11/2004
202308812|Lê Bảo Hà|21/05/2005
202327694|Phan Hữu Phúc|24/11/2004
202597409|Ngô Hữu Anh|31/07/2003
202597091|Đoàn Thị Phúc|21/09/2004
202529732|Vũ Thị Yến|20/06/2006
202499641|Hồ Gia Phát|02/03/2005
202380153|Phan Thanh Anh|16/06/2004
202407603|Hồ Văn Em|02/11/2003
202331536|Ngô Văn Hà|24/10/2006
202298296|Hoàng Đức Quỳnh|21/10/2004
202450530|Hoàng Thu Oanh|14/08/2006
202430081|Phạm Ngọc Hà|12/05/2004
202539973|Hoàng Hoàng Uyên|02/11/2006
202303578|Nguyễn Kim Dung|25/02/2005
202573448|Hồ Gia Phúc|27/06/2006
202490502|Lý Tuấn Đào|27/06/2006
202368517|Lê Phương Oanh|29/04/2006
202314992|Võ Mai Sơn|13/08/2004
202237024|Vũ Thị Dũng|11/03/2004
202518056|Ngô Minh Bình|28/10/2003
202395313|Đinh Quang Vinh|07/05/2006
202490593|Ngô Hoàng Đạt|26/01/2006
202486363|Trịnh Tuấn Đạt|19/06/2004
202364698|Trịnh Thị Thảo|21/04/2005
202375729|Trần Kim Quân|29/04/2006
202298921|Phạm Văn Long|15/01/2004
202215488|Bùi Quang Phát|12/08/2003
202359060|Đoàn Phương Hải|07/03/2005
202373974|Đinh Thị Giang|01/10/2003
202493151|Lê Hữu Long|02/07/2004
202267487|Hoàng Minh Anh|26/12/2004
202594169|Phan Hải Sơn|30/07/2006
202413926|Ngô Thị Hiếu|22/08/2005
202417468|Đỗ Gia Linh|25/02/2004
202527273|Đỗ Hải Em|17/07/2003
202280789|Phạm Phương Nga|23/10/2004
202359339|Hoàng Trọng Phát|14/09/2004
202514497|Đỗ Gia Vân|01/03/2003
202487275|Võ Quang Bảo|10/07/2004
202209012|Dương Hải Nam|22/08/2005
202202245|Huỳnh Hoàng Khang|01/06/2004
202595704|Lý Tuấn Chi|30/11/2005
202306214|Trần Tuấn Hải|29/01/2003
202352061|Đặng Kim Thảo|27/07/2004
202523602|Nguyễn Thanh Huy|26/03/2004
202595856|Võ Đức Trang|02/10/2004
202327718|Đỗ Thanh Hải|27/11/2003
202521221|Dương Gia Thảo|03/12/2005
202217741|Trần Thu Quỳnh|14/03/2003
202501215|Phạm Thị Bảo|10/03/2004
202217807|Đinh Thanh Yến|17/04/2003
202455984|Hồ Thu Vinh|22/03/2006
202247635|Vũ Thu Sơn|20/10/2003
202291079|Bùi Thị Linh|07/10/2004
202418635|Dương Kim Nga|13/08/2005
202358144|Ngô Văn Phát|05/10/2005
202215980|Đoàn Ngọc Phương|12/11/2006
202335991|Trần Văn Chi|11/04/2005
202454003|Huỳnh Hoàng Hiếu|22/05/2006
202490324|Võ Văn Quân|14/06/2006
202356632|Trần Minh Chi|02/07/2003
202536135|Lê Hải Phúc|03/11/2004
202467442|Lý Quang Bảo|01/09/2003
202360245|Dương Hải Chi|03/09/2005
202401225|Dương Mai Quân|17/03/2006
202369714|Hoàng Hữu Long|23/08/2004
202478721|Ngô Hữu Đạt|09/04/2004
202452130|Đoàn Tuấn Hải|31/07/2004
202358127|Trần Minh Huy|08/11/2003
202236176|Đoàn Hữu Khoa|01/06/2003
202380972|Trịnh Ngọc Uyên|02/09/2004
202418217|Ngô Hữu Giang|27/02/2003
202274211|Hoàng Hoàng Khang|28/03/2004
202294181|Lý Minh Thắng|27/09/2005
202223093|Nguyễn Mai Đào|23/05/2003
202472141|Đỗ Ngọc Quỳnh|25/03/2005
202291892|Đinh Hải Chi|21/06/2005
202274429|Đỗ Thanh Hà|09/11/2005
202254862|Nguyễn Bảo Huy|27/08/2003
202505295|Dương Thanh Dung|30/01/2006
202419496|Đoàn Đức Uyên|02/04/2005
202493059|Đoàn Hữu Long|02/01/2004
202238130|Huỳnh Đức Dung|12/02/2003
202361665|Nguyễn Tuấn Uyên|04/02/2005
202507152|Lê Minh Phương|11/12/2003
202246415|Dương Trọng Vân|14/04/2006
202499937|Trịnh Đức Phát|11/02/2006
202342725|Huỳnh Mai Đào|23/09/2003
202425204|Hoàng Tuấn Linh|18/05/2006
202304390|Hoàng Quang Trí|04/09/2004
202426339|Huỳnh Hoàng Đào|24/06/2006
202463459|Hoàng Hoàng Khoa|20/11/2005
202543059|Dương Mai Linh|09/08/2005
202226221|Đỗ Đức Yến|29/05/2004
202585538|Dương Minh Trí|03/11/2003
202210624|Võ Kim Hải|17/11/2006
202415379|Trần Trọng Thảo|22/11/2003
202536966|Dương Phương Quân|11/07/2003
202330375|Lê Hữu Bình|22/08/2004
202273062|Dương Hữu Vân|13/07/2004
202456506|Hồ Xuân Huy|30/08/2005
202335712|Nguyễn Kim Oanh|26/02/2003
202330431|Lý Đức Hà|28/12/2005
202218667|Lý Quang Oanh|30/06/2005
202405210|Bùi Bảo Phương|21/08/2004
202310863|Võ Minh Nga|31/08/2003
202368088|Nguyễn Văn Vân|05/03/2006
202564974|Hồ Văn Quỳnh|16/12/2004
202417059|Nguyễn Thu Yến|03/02/2005
202268711|Hoàng Hoàng Linh|20/01/2005
202442720|Hồ Gia Sơn|02/12/2003
202503056|Võ Kim Tân|06/10/2006
202449512|Hồ Xuân Bình|28/03/2005
202473743|Đỗ Thu Uyên|22/10/2003
202469388|Huỳnh Trọng Yến|05/08/2006
202323385|Đoàn Hoàng Đào|13/06/2003
202339466|Lý Phương Thắng|31/01/2003
202447087|Huỳnh Tuấn Khoa|13/10/2003
202226968|Phan Hải Vinh|23/11/2006
202304364|Lê Văn Đạt|10/10/2004
202500835|Nguyễn Thu Bảo|24/03/2004
202229110|Lê Hải Nam|02/07/2005
202374906|Lê Phương Oanh|04/02/2003
202218830|Ngô Văn Đạt|16/09/2005
202244273|Hoàng Xuân Yến|08/09/2004
202513337|Dương Đức Thảo|18/08/2003
202404811|Đặng Xuân Anh|06/11/2003
202478111|Bùi Văn Linh|18/04/2005
202248433|Trần Đức Tân|30/12/2005
202272374|Lê Xuân Trang|31/08/2005
202293572|Hồ Trọng Quỳnh|12/12/2003
202586682|Hồ Thu Nga|03/02/2005
202415953|Vũ Minh Yến|15/11/2006
202222803|Hồ Thị Quân|23/07/2004
202566157|Hồ Xuân Hà|06/09/2005
202365565|Dương Thu Oanh|23/04/2003
202364478|Bùi Hải Quỳnh|25/06/2004
202420892|Lý Xuân Hà|24/03/2003
202365334|Dương Xuân Phúc|08/07/2004
202224801|Trần Hoàng Giang|14/06/2004
202312938|Lê Kim Sơn|15/06/2005
202473563|Trịnh Thanh Sơn|01/01/2005
202314556|Ngô Thanh Vinh|29/04/2005
202543141|Đoàn Bảo Yến|13/05/2005
202402927|Phạm Minh Huy|17/02/2005
202551508|Đặng Trọng Nga|09/11/2004
202545637|Hồ Hải Chi|07/05/2005
202515339|Ngô Mai Phương|24/02/2005
202228876|Phan Ngọc Hà|21/09/2003
202375397|Trần Hải Phương|28/01/2006
202310915|Võ Thị Chi|02/08/2004
202382418|Vũ Xuân Tân|10/06/2003
202484810|Bùi Quang Giang|16/02/2003
202453446|Đỗ Hải Uyên|14/08/2006
202530969|Phạm Ngọc Bình|01/03/2005
202523262|Lý Gia Nga|16/02/2005
202262100|Lý Minh Em|06/06/2003
202330088|Hoàng Kim Oanh|10/09/2005
202359886|Võ Trọng Anh|19/04/2004
202374760|Võ Mai Bảo|18/04/2005
202344341|Lý Kim Giang|17/04/2005
202322178|Hoàng Ngọc Trang|29/01/2003
202209890|Võ Minh Vân|05/06/2006
202369268|Vũ Gia Đạt|23/11/2004
202279932|Trịnh Phương Dũng|30/06/2005
202502259|Hồ Thu Linh|09/10/2006
202478303|Vũ Quang Phương|25/04/2005
202356690|Đặng Tuấn Hải|19/04/2004
202514456|Dương Hoàng Thắng|31/08/2003
202223128|Nguyễn Ngọc Khang|18/04/2005
202227168|Trần Kim Hiếu|15/01/2005
202249876|Lê Mai Trang|17/10/2004
202584388|Trần Gia Anh|27/01/2006
202521046|Phạm Mai Long|04/05/2005
202346736|Đặng Hữu Phúc|10/02/2003
202372680|Nguyễn Văn Oanh|26/07/2006
202410081|Nguyễn Minh Phúc|08/09/2005
202278648|Hồ Minh Hà|09/01/2003
202546727|Hoàng Thị Uyên|28/12/2005
202286896|Đỗ Kim Phát|12/04/2004
202549831|Phan Minh Trang|05/11/2006
202290460|Nguyễn Phương Thảo|08/02/2005
202548542|Trần Mai Hà|22/11/2003
202268171|Huỳnh Kim Hải|13/04/2004
202400910|Phan Phương Trí|08/02/2006
202484982|Đoàn Hải Khoa|25/07/2004
202358736|Trần Xuân Nga|29/09/2006
202246776|Lê Thị Hiếu|02/12/2004
202257055|Nguyễn Văn Chi|06/10/2003
202375425|Lê Văn Đào|18/10/2004
202326268|Vũ Trọng Tân|11/07/2004
202595987|Võ Trọng Quân|12/01/2006
202402988|Đinh Phương Trí|29/04/2004
202377153|Vũ Thị Vinh|24/07/2003
202485899|Trần Thu Trang|17/08/2006
202536734|Trịnh Văn Hà|20/12/2005
202440344|Hoàng Ngọc Giang|15/03/2003
202351626|Đặng Xuân Thảo|16/08/2005
202590426|Trần Ngọc Trí|22/10/2003
202486409|Đỗ Tuấn Nga|13/03/2003
202557103|Đoàn Trọng Yến|23/04/2005
202229557|Phan Hải Hà|09/10/2005
202561578|Ngô Minh Khoa|05/09/2003
202340659|Đặng Trọng Giang|27/12/2006
202442003|Đinh Ngọc Phát|19/11/2004
202426943|Bùi Thị Phúc|30/12/2005
202337840|Đinh Ngọc Anh|04/11/2005
202200537|Đặng Đức Đào|17/06/2006
202257448|Vũ Đức Long|22/04/2005
202514502|Huỳnh Văn Chi|13/06/2005
202511372|Bùi Hữu Nga|03/10/2005
202204674|Phan Đức Nga|03/01/2006
202279024|Dương Xuân Dung|24/08/2004
202590371|Võ Trọng Phát|16/05/2004
202289903|Trịnh Đức Thắng|03/07/2003
202334809|Ngô Tuấn Long|16/11/2005
202280305|Hoàng Quang Em|24/04/2004
202326287|Dương Kim Đạt|21/06/2005
202248977|Đặng Văn Long|28/07/2003
202531477|Vũ Minh Đào|15/09/2004
202300120|Đặng Minh Vinh|02/06/2004
202591996|Vũ Hải Hà|31/05/2003
202409315|Nguyễn Thị Oanh|21/10/2005
202416804|Phạm Thu Dung|14/10/2004
202579449|Lý Hải Thắng|03/12/2006
202544144|Phan Ngọc Uyên|13/09/2005
202294738|Hoàng Thu Anh|20/08/2004
202228924|Trịnh Hoàng Uyên|17/01/2004
202326136|Đặng Hoàng Linh|21/07/2006
202268114|Hoàng Phương Tân|07/10/2003
202262921|Phạm Thị Sơn|02/09/2004
202555323|Huỳnh Xuân Thảo|30/01/2003
202405194|Trịnh Mai Linh|09/08/2005
202273245|Nguyễn Mai Thắng|08/12/2003
202216014|Huỳnh Thu Phúc|14/12/2004
202567643|Đặng Văn Bảo|27/10/2003
202565299|Ngô Mai Tân|21/12/2005
202470770|Đặng Xuân Thắng|15/09/2006
202499837|Bùi Trọng Huy|27/07/2003
202366805|Bùi Ngọc Thảo|04/05/2006
202551406|Ngô Thị Chi|20/06/2003
202501593|Đoàn Hoàng Anh|28/11/2006
202550280|Ngô Trọng Linh|18/12/2004
202458620|Trần Gia Thắng|21/03/2006
202570556|Nguyễn Kim Thắng|30/05/2003
202483349|Đặng Kim Phúc|01/07/2005
202375707|Vũ Mai Khang|29/12/2003
202241493|Bùi Kim Dũng|18/01/2005
202312244|Hồ Gia Phúc|29/09/2006
202201190|Lê Minh Nga|27/03/2004
202272117|Nguyễn Trọng Vân|15/03/2003
202448761|Vũ Trọng Phương|11/03/2005
202224640|Đinh Kim Thảo|18/02/2003
202419997|Huỳnh Hải Em|03/02/2004
202561950|Lý Hải Giang|13/10/2006
202596958|Phạm Kim Vinh|01/06/2005
202431675|Đinh Phương Thắng|10/06/2003
202224359|Nguyễn Mai Hải|23/02/2003
202351827|Phạm Bảo Dung|19/11/2004
202487304|Đặng Xuân Đạt|05/08/2003
202233547|Bùi Văn Uyên|05/11/2003
202239657|Đặng Bảo Huy|09/05/2006
202393139|Phan Thị Huy|13/03/2006
202536716|Trần Thanh Uyên|22/05/2003
202420848|Bùi Ngọc Giang|17/05/2004
202298613|Bùi Thanh Phương|09/09/2004
202250083|Vũ Bảo Bình|30/07/2006
202495291|Trần Hải Khoa|19/12/2005
202237702|Trịnh Quang Hà|28/03/2005
202547142|Nguyễn Ngọc Đạt|02/01/2004
202449833|Nguyễn Bảo Hà|14/03/2005
202534765|Vũ Gia Khang|28/08/2005
202268264|Ngô Trọng Quỳnh|24/01/2003
202318992|Phạm Quang Phát|09/09/2005
202398018|Dương Tuấn Nam|12/07/2003
202492713|Đoàn Văn Quỳnh|21/12/2006
202301756|Trần Hoàng Vân|02/06/2006
202584228|Bùi Hải Vinh|01/11/2004
202401848|Vũ Gia Thắng|03/12/2005
202270578|Đoàn Xuân Khoa|17/08/2006
202409971|Ngô Hải Phát|18/11/2005
202268756|Nguyễn Thu Trí|30/05/2006
202524764|Trịnh Ngọc Chi|18/02/2005
202323050|Dương Thanh Em|24/10/2005
202324527|Dương Tuấn Đạt|23/11/2005
202299091|Ngô Minh Phát|16/06/2006
202429062|Phạm Tuấn Thảo|16/10/2004
202510542|Đặng Đức Uyên|03/09/2004
202270838|Ngô Thanh Đào|10/09/2006
202398615|Bùi Quang Oanh|05/01/2005
202547626|Võ Hữu Yến|30/12/2006
202275837|Đoàn Hải Trang|01/09/2004
202298085|Dương Thanh Vân|08/12/2005
202297064|Hoàng Đức Vinh|15/06/2004
